Designator,Footprint,Quantity,Value,LCSC Part #
J101,AFC07S16FCC00,1,AFC07-S16FCC-00,C11053
"R205, R207, R208",0402,3,10k,C25744
R206,0402,1,0R,C17168
"R209, R210, R211",0603,3,150,C22808
"S201, S202, S203",TS1187ABAB,3,TS-1187A-B-A-B,C318884
